code_station,libelle_support,date_prelevement,code_parametre,libelle_parametre,resultat,symbole_unite,mnemo_remarque,limite_quantification,libelle_qualification
03013155,Eau,2012-04-16,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2012-04-16,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2012-05-09,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2012-05-09,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2012-07-11,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2012-07-11,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2012-10-02,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2012-10-02,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2012-11-07,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2012-11-07,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2013-02-04,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2013-02-04,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2013-04-04,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2013-04-04,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2013-06-05,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2013-06-05,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2013-07-23,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2013-07-23,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2013-10-02,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2013-10-02,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2013-12-18,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2013-12-18,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2014-01-15,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2014-01-15,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2014-03-06,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2014-03-06,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2014-05-19,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2014-05-19,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2014-07-03,1907,AMPA,0.24,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.1,Correcte
03013155,Eau,2014-07-03,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2014-09-10,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2014-09-10,1907,AMPA,0.28,µg/L,Résultat > seuil de quantification et < au seuil de saturation ou Résultat = 0,0.1,Correcte
03013155,Eau,2014-12-08,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2014-12-08,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2015-01-20,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2015-01-20,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2015-03-18,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2015-03-18,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2015-05-28,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2015-05-28,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2015-08-18,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2015-08-18,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2015-09-07,1506,Glyphosate,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
03013155,Eau,2015-09-07,1907,AMPA,0.1,µg/L,Résultat < au seuil de quantification,0.1,Correcte
